"1","Delhi","Mumbai","TUGHLAQABAD FORT","NEEMRANA FORT PALACE","VASAI FORT","JAIGARH FORT","AADYA KATYAYANI SHAKTI PEETH MANDIR","2017-12-12","6000"
"2","bangalore","ooty","WONDER LA","ramanagara","JAYACHAMARAJENDRA ZOOLOGICAL GARDENS","Bandipur National Park","PYKARA DAM","2","2000"
"3","bhopal","delhi","jahangir mahal","gwaliar","taj mahal","agra fort","noida","4","8000"
"4","manali","leh","rahala water falls","rohtang pass","suraj tal pass","Lachulung La","Tanglang La","6","10000"
"5","hyderabad ","goa","Gadwal Fort","Dudhsagar Fall","Gulbarga Fort","Badami Caves","Ruins of Hampi","6","9000"
"6","mumbai ","goa","Karnala Bird Sanctuary","Tamhini Ghat Waterfalls, Kansai Waterfalls"," Tiger?s Leap, Rajmachi Point","Satara,Ajinkyatara Fort","Lonavala: Kune Falls, Bhushi Dam","8","16000"
"7","mumbai ","delhi","Mount Abu","Panchmarhi","Udaipur","Jabalpur","Khallikote (Eastern Ghats)","5","6000"
"8","chennai","kanyakumari","Mahabalipuram","Puducherry","Tiruchirappalli","Thanjavur","Madurai","7","11000"
"9","chennai","kochi","Coimbatore","Thrissur","Aagaya Gangai water falls","Nilgiri Mountain Railway Line","Wonderla Amusement Park, Kochi","3","6000"
